Name Type Nationality Quality PriceClass DistansUni

|Mr Frusto| Pizza Italian High Mid 10
Shagoon Asian Asian Mid Low 15
SuperHusmansKost Traditional Swedish High Low 20
Pikea Fastfood Asian Mid Low 40
MiniBlue Cafe German Mid Low 5
|Italian Horse| Pizza Italian Low Low 2
Tacos_King Fastfood Amarican Low Mid 30
ThaiTanic Asian Asian Low Low 15
Snekea Fastfood Fastfood Mid Low 50
|MC Campus| Steakhouse French High High 0
|Frusty Krab| Traditional German Mid Mid 0
Elit_Resturant Traditional French High High 50
|God Morning Cafe| Cafe Swedish Mid Low 3
Evning_Dinner Steakhouse Italian Mid High 5
Svenssn_Svensons Traditional Swedish Mid High 10
Tonys Cafe Italian High High 15
Godexo Cafe French Mid Mid 20
Max Fastfood Swedish Low Low 25
cdonalds Fastfood Swedish Mid Low 30
|Metro Subs| Fastfood Amarican Mid Low 40
