Name Type Nationality Quality PriceClass DistansUni
|Mr Frusto| Pizza Italian High Mid 10
Shagoon Asian Asian Mid Low 15
SuperHusmansKost Traditional Swedish High Low 20
Pikea Fastfood Asian Mid Low 40
MiniBlue Cafe German Mid Low 5
|Italian Horse| Pizza Italian Low Low 2
Tacos_King Fastfood Amarican Low Mid 30
ThaiTanic Asian Asian Low Low 15
Snekea Fastfood Amarican Mid Low 50
|MC Campus| Steakhouse French High High 0
|Frusty Krab| Traditional German Mid Mid 0
Elit_Resturant Traditional French High High 50
|God Morning Cafe| Cafe Swedish Mid Low 3
Evning_Dinner Steakhouse Italian Mid High 5
Svenssn_Svensons Traditional Swedish Mid High 10
Tonys Cafe Italian High High 15
Godexo Cafe French Mid Mid 20
Max Fastfood Swedish Low Low 25
cdonalds Fastfood Swedish Mid Low 30
|Metro Subs| Fastfood Amarican Mid Low 40
|Mr Gusto| Pizza Italian Mid Mid 20
Shagoan Fastfood Asian Mid Mid 25
HusmansKost Traditional Swedish Low Low 40
Gikea Cafe Asian Mid Low 30
BluePavalone Traditional German Mid Low 15
|Swedish Horse| Pizza Swedish Low Low 1
Tacos Fastfood French Mid Mid 35
ThaiTanic2 Asian Asian Mid Mid 75
Grafkea Traditional French High Low 90
|MC valrus| Steakhouse German High High 0
|Crusty Krab| Traditional Swedish Mid Mid 5
Elit_Hotel Cafe French High High 55
|God Evning Cafe| Cafe Swedish High Mid 3
Evning_Dinner2 Steakhouse French Mid High 15
Svenssn_Svenson Traditional Swedish Mid Mid 90
Tony Cafe Italian High High 55
sodexo Cafe French Low Mid 25
SuperMax Fastfood Swedish High Low 25
Donalds Fastfood Amarican Mid Low 45
|Metro Sandwisches| Cafe Amarican Mid Mid 60
|Metro Hubs| Fastfood French Mid Low 40
|Mr Husto| Pizza Italian Low Low 80
Shagoane Traditional Asian Mid Mid 55
HusmansKosten Traditional Italian High Low 0
Hikea Cafe French Mid Low 30
ResPavalone Pizza German Mid Low 45
|Swedish Steakhouse| Steakhouse Swedish Mid Mid 10
TacoFriday Fastfood French Mid Mid 35
ThaiTanic3 Steakhouse Asian Mid Mid 75
Frekea Traditional French High Low 50
|MC Crabbs| Steakhouse German High High 50
|Cheasy Krab| Traditional French Mid Mid 5
Budget_Hotel Cafe French Low High 55
|Bad Evning Cafe| Cafe French Low Low 3
Evning_Dinner3 Steakhouse Italian Mid High 95
Svenssn_Svensonsons Traditional Swedish Low Low 90
Jonas_Cafe Cafe Swedish High High 95
Jodexo Cafe Amarican Mid Mid 55
SuperMaxes Fastfood Swedish High Mid 55
Donaldes Fastfood Amarican Mid Mid 65
|Mc Sandwisches| Cafe Amarican High High 60
